"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","Monetary Policy Rate (%)","28.00","28.00","29.50","29.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2022","Monetary Policy Rate (%)","14.50","14.50","17.00","17.00","19.00","19.00","19.00","22.00","22.00","24.50","27.00","27.00"
"2021","Monetary Policy Rate (%)","14.50","14.50","14.50","14.50","13.50","13.50","13.50","13.50","13.50","13.50","14.50","14.50"
"2020","Monetary Policy Rate (%)","16.00","16.00","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50"
"2019","Monetary Policy Rate (%)","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00"
"2018","Monetary Policy Rate (%)","20.00","20.00","18.00","18.00","17.00","17.00","17.00","17.00","17.00","17.00","17.00","17.00"
"2017","Monetary Policy Rate (%)","25.50","25.50","23.50","23.50","22.50","22.50","21.00","21.00","21.00","21.00","20.00","20.00"
"2016","Monetary Policy Rate (%)","26.00","26.00","26.00","26.00","26.00","26.00","26.00","26.00","26.00","26.00","25.50","25.50"
"2015","Monetary Policy Rate (%)","21.00","21.00","21.00","21.00","22.00","22.00","22.00","24.00","25.00","25.00","26.00","26.00"
"2014","Monetary Policy Rate (%)","16.00","18.00","18.00","18.00","18.00","18.00","19.00","19.00","19.00","19.00","21.00","21.00"
"2013","Monetary Policy Rate (%)","15.00","15.00","15.00","15.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00"
"2012","Monetary Policy Rate (%)","12.50","13.50","13.50","14.50","14.50","15.00","15.00","15.00","15.00","15.00","15.00","15.00"
"2011","Monetary Policy Rate (%)","13.50","13.50","13.50","13.50","13.00","13.00","12.50","12.50","12.50","12.50","12.50","12.50"
"2010","Monetary Policy Rate (%)","18.00","16.00","16.00","15.00","15.00","15.00","13.50","13.50","13.50","13.50","13.50","13.50"
"2009","Monetary Policy Rate (%)","17.00","18.50","18.50","18.50","18.50","18.50","18.50","18.50","18.50","18.50","18.00","18.00"
"2008","Monetary Policy Rate (%)","13.50","13.50","14.25","14.25","16.00","16.00","17.00","17.00","17.00","17.00","17.00","17.00"
