fold,model,target,tuned,best_params,auc,n_train,n_test
fold1,base_rate,cocoa_var_breach,,,0.5,1153,346
fold1,garch_t,cocoa_var_breach,,,0.5465069322923677,1153,346
fold1,var,cocoa_var_breach,,,0.6366940368824876,1153,346
fold1,markov_switching,cocoa_var_breach,,,0.6314443397496298,1153,346
fold1,logistic,cocoa_var_breach,False,{'clf__C': 1.0},0.46143491721631447,1153,346
fold1,lasso,cocoa_var_breach,False,{'clf__C': 0.1},0.6314443397496299,1153,346
fold1,elastic_net,cocoa_var_breach,False,{'clf__C': 0.1},0.5038363171355499,1153,346
fold1,random_forest,cocoa_var_breach,False,{'min_samples_leaf': 25},0.6049266388477588,1153,346
fold1,xgboost,cocoa_var_breach,False,"{'max_depth': 3, 'min_child_weight': 3}",0.5439493875353345,1153,346
fold1,svm,cocoa_var_breach,False,"{'clf__C': 2.0, 'clf__gamma': 'scale'}",0.6142145645443532,1153,346
fold1,mlp,cocoa_var_breach,False,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.47435724862027184,1153,346
fold2,base_rate,cocoa_var_breach,,,0.5,1499,346
fold2,garch_t,cocoa_var_breach,,,0.42660468442696226,1499,346
fold2,var,cocoa_var_breach,,,0.4232075809047023,1499,346
fold2,markov_switching,cocoa_var_breach,,,0.5222599678169141,1499,346
fold2,logistic,cocoa_var_breach,False,{'clf__C': 1.0},0.5691042374396567,1499,346
fold2,lasso,cocoa_var_breach,False,{'clf__C': 0.1},0.6236366887180405,1499,346
fold2,elastic_net,cocoa_var_breach,False,{'clf__C': 0.1},0.6275701770069729,1499,346
fold2,random_forest,cocoa_var_breach,False,{'min_samples_leaf': 25},0.47058823529411764,1499,346
fold2,xgboost,cocoa_var_breach,False,"{'max_depth': 3, 'min_child_weight': 3}",0.5172537099946362,1499,346
fold2,svm,cocoa_var_breach,False,"{'clf__C': 2.0, 'clf__gamma': 'scale'}",0.5758984444841767,1499,346
fold2,mlp,cocoa_var_breach,False,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.3926336492043626,1499,346
fold3,base_rate,cocoa_var_breach,,,0.5,1845,346
fold3,garch_t,cocoa_var_breach,,,0.6432874354561101,1845,346
