target,model,auc_cv_mean,auc_stress
cedi_depreciation,random_forest,0.7221,0.7026
cedi_depreciation,xgboost,0.6639,0.7892
cedi_depreciation,garch_t,0.5767,0.6977
cedi_depreciation,var,0.5647,0.7093
cedi_depreciation,markov_switching,0.5641,0.758
cedi_depreciation,svm,0.5232,0.3693
cedi_depreciation,lasso,0.5194,0.5408
cedi_depreciation,base_rate,0.5,0.5
cedi_depreciation,elastic_net,0.4659,0.3684
cedi_depreciation,mlp,0.4421,0.3528
cedi_depreciation,logistic,0.4383,0.4667
cocoa_var_breach,markov_switching,0.6005,0.6058
cocoa_var_breach,var,0.5986,0.5988
cocoa_var_breach,lasso,0.5776,0.5595
cocoa_var_breach,elastic_net,0.5614,0.5738
cocoa_var_breach,garch_t,0.5513,0.6428
cocoa_var_breach,logistic,0.5452,0.5821
cocoa_var_breach,xgboost,0.5438,0.5171
cocoa_var_breach,svm,0.5383,0.5196
cocoa_var_breach,random_forest,0.5243,0.5174
cocoa_var_breach,base_rate,0.5,0.5
cocoa_var_breach,mlp,0.4701,0.4967
highvol_day,markov_switching,0.5954,0.7476
highvol_day,var,0.5621,0.7201
highvol_day,lasso,0.5541,0.4175
highvol_day,elastic_net,0.5407,0.3629
highvol_day,garch_t,0.5153,0.6119
highvol_day,logistic,0.5059,0.3326
highvol_day,base_rate,0.5,0.5
highvol_day,xgboost,0.4811,0.4043
highvol_day,random_forest,0.4743,0.4584
highvol_day,svm,0.4613,0.374
highvol_day,mlp,0.4528,0.3544
