,0
cedi_ret_lag5_mean,0.01583
cedi_mom_5d,0.01342
cedi_ret_lag1,0.0127
brent_mom_63d,0.01172
corr_cocoa_wti_21d,0.00848
cedi_drawdown_63d,0.00841
dxy_vol_21d,0.00744
wti_mom_63d,0.00713
gold_vol_63d,0.0066
cocoa_vol_63d,0.00504
cedi_mom_21d,0.00358
wti_vol_21d,0.00335
gold_mom_21d,0.00294
cocoa_vol_21d,0.00264
dxy_mom_21d,0.00213
cedi_ret_lag2,0.00193
cedi_vol_5d,0.00189
corr_cocoa_brent_21d,0.00172
cocoa_vol_5d,0.00153
cocoa_volratio,0.00151
gold_vol_21d,0.00141
wti_drawdown_63d,0.001
dxy_drawdown_63d,0.00082
gold_absret_lag1,0.00077
dxy_mom_63d,0.00071
cedi_absret_lag1,0.0007
cocoa_ret_lag5_mean,0.00065
corr_cocoa_dxy_21d,0.00056
brent_drawdown_63d,0.00053
joint_tail_count,0.0005
gold_mom_5d,0.00046
dxy_ret_lag2,0.00042
dxy_ret_lag5_mean,0.00037
wti_volratio,0.00037
macro_cpi_yoy,0.0003
corr_cocoa_gold_21d,0.00029
vix_absret_lag1,0.00026
dxy_vol_63d,0.00022
gold_vol_5d,0.00022
vix_ret_lag1,0.0002
vix_ret_lag2,0.00018
macro_cedi_depreciation_pct_m,0.00017
wti_ret_lag2,0.00012
gold_ret_lag2,0.00011
brent_vol_21d,0.00011
wti_vol_5d,0.0001
wti_ret_lag1,7e-05
vix_vol_5d,5e-05
dxy_absret_lag1,1e-05
cocoa_absret_lag1,0.0
gold_ret_lag1,0.0
macro_policy_rate,0.0
macro_exports_usd_m,0.0
brent_absret_lag1,-0.0
wti_absret_lag1,-3e-05
cocoa_mom_5d,-7e-05
cocoa_ret_lag1,-0.0001
brent_ret_lag2,-0.00012
cedi_vol_63d,-0.00014
cocoa_ret_lag2,-0.00014
brent_ret_lag1,-0.00018
dxy_ret_lag1,-0.0002
cedi_vol_21d,-0.0002
vix_ret_lag5_mean,-0.0002
gold_volratio,-0.0005
brent_mom_5d,-0.00054
gold_mom_63d,-0.00058
corr_cocoa_cedi_21d,-0.00079
dxy_vol_5d,-0.00081
cocoa_mom_21d,-0.00082
dxy_mom_5d,-0.00092
wti_mom_21d,-0.00094
vix_volratio,-0.00104
vix_mom_21d,-0.00104
wti_ret_lag5_mean,-0.00118
brent_ret_lag5_mean,-0.00124
wti_mom_5d,-0.00126
vix_mom_5d,-0.00129
brent_vol_5d,-0.00154
vix_mom_63d,-0.00184
wti_vol_63d,-0.00191
brent_mom_21d,-0.00191
brent_volratio,-0.00192
cedi_mom_63d,-0.00242
gold_ret_lag5_mean,-0.00258
dxy_volratio,-0.00272
brent_vol_63d,-0.00291
cocoa_drawdown_63d,-0.00296
cedi_volratio,-0.003
gold_drawdown_63d,-0.0031
vix_vol_21d,-0.00654
vix_vol_63d,-0.0123
corr_cocoa_vix_21d,-0.01831
vix_drawdown_63d,-0.01891
cocoa_mom_63d,-0.01958
