,0
cocoa_mom_63d,0.07376
joint_tail_count,0.04098
brent_vol_63d,0.02411
cocoa_vol_21d,0.01772
corr_cocoa_vix_21d,0.01392
cocoa_mom_21d,0.01312
cocoa_ret_lag1,0.01065
gold_drawdown_63d,0.00981
wti_vol_21d,0.00968
dxy_volratio,0.00828
vix_mom_21d,0.00777
corr_cocoa_brent_21d,0.00768
cocoa_vol_63d,0.00623
cocoa_drawdown_63d,0.00576
gold_vol_21d,0.00566
wti_ret_lag5_mean,0.00525
wti_mom_5d,0.00525
wti_volratio,0.0052
cocoa_vol_5d,0.00462
gold_vol_5d,0.00459
vix_vol_5d,0.00451
wti_vol_5d,0.00389
cedi_vol_63d,0.0038
gold_mom_21d,0.00363
vix_vol_21d,0.0035
brent_volratio,0.00337
corr_cocoa_gold_21d,0.00301
cedi_mom_5d,0.00295
cedi_ret_lag5_mean,0.00295
vix_drawdown_63d,0.00295
dxy_absret_lag1,0.00293
wti_mom_63d,0.00292
cocoa_absret_lag1,0.00229
corr_cocoa_wti_21d,0.00219
vix_absret_lag1,0.00196
vix_mom_63d,0.00189
vix_volratio,0.00162
brent_absret_lag1,0.00147
dxy_mom_5d,0.0013
dxy_ret_lag5_mean,0.0013
wti_absret_lag1,0.00107
gold_ret_lag1,0.00083
dxy_drawdown_63d,0.00064
dxy_mom_21d,0.00062
dxy_ret_lag2,0.00053
cedi_vol_5d,0.00051
wti_ret_lag2,0.00045
cedi_ret_lag1,0.00032
brent_ret_lag5_mean,0.0002
brent_mom_5d,0.0002
macro_cedi_depreciation_pct_m,0.0002
brent_ret_lag1,0.00016
cocoa_volratio,0.00011
dxy_vol_5d,5e-05
gold_mom_5d,4e-05
gold_ret_lag5_mean,4e-05
vix_ret_lag1,2e-05
wti_mom_21d,1e-05
brent_ret_lag2,0.0
wti_ret_lag1,0.0
gold_volratio,0.0
vix_ret_lag2,0.0
dxy_vol_63d,0.0
macro_policy_rate,0.0
macro_exports_usd_m,0.0
brent_drawdown_63d,0.0
brent_mom_21d,0.0
cedi_vol_21d,0.0
cedi_mom_63d,0.0
vix_vol_63d,0.0
corr_cocoa_cedi_21d,0.0
cedi_absret_lag1,0.0
dxy_vol_21d,-3e-05
brent_mom_63d,-0.0003
macro_cpi_yoy,-0.00085
wti_drawdown_63d,-0.00117
cedi_volratio,-0.00191
dxy_mom_63d,-0.0029
cedi_drawdown_63d,-0.00314
cedi_mom_21d,-0.00333
gold_ret_lag2,-0.00337
cedi_ret_lag2,-0.00442
corr_cocoa_dxy_21d,-0.00515
gold_vol_63d,-0.00544
brent_vol_21d,-0.00689
vix_mom_5d,-0.00815
vix_ret_lag5_mean,-0.00815
wti_vol_63d,-0.00849
dxy_ret_lag1,-0.00985
cocoa_mom_5d,-0.01092
cocoa_ret_lag5_mean,-0.01092
brent_vol_5d,-0.01383
gold_absret_lag1,-0.01586
gold_mom_63d,-0.01736
cocoa_ret_lag2,-0.02545
