,0
vix_vol_63d,0.02001
brent_vol_21d,0.0179
joint_tail_count,0.01544
cocoa_absret_lag1,0.01505
wti_vol_21d,0.00927
cedi_mom_5d,0.00709
gold_mom_21d,0.00605
dxy_vol_21d,0.00523
corr_cocoa_dxy_21d,0.00488
cedi_ret_lag5_mean,0.00477
cedi_mom_21d,0.00472
cocoa_vol_5d,0.00431
cedi_vol_63d,0.00412
gold_vol_21d,0.00391
gold_mom_63d,0.00384
gold_ret_lag2,0.00381
dxy_vol_63d,0.0035
cocoa_mom_5d,0.00319
dxy_absret_lag1,0.00309
wti_vol_63d,0.00283
cedi_ret_lag2,0.00275
cedi_mom_63d,0.00266
corr_cocoa_gold_21d,0.00224
gold_drawdown_63d,0.00183
dxy_ret_lag5_mean,0.00178
dxy_ret_lag1,0.00159
vix_absret_lag1,0.00136
macro_cpi_yoy,0.00121
cedi_vol_21d,0.0012
dxy_drawdown_63d,0.0012
cocoa_ret_lag2,0.00106
corr_cocoa_cedi_21d,0.00093
wti_drawdown_63d,0.00047
wti_mom_21d,0.00039
vix_mom_21d,0.00025
vix_ret_lag2,0.00025
brent_drawdown_63d,0.0002
wti_volratio,0.00014
cedi_vol_5d,1e-05
macro_exports_usd_m,0.0
macro_policy_rate,0.0
brent_mom_21d,-0.00021
corr_cocoa_vix_21d,-0.00025
cedi_drawdown_63d,-0.00027
cedi_volratio,-0.00027
wti_mom_5d,-0.00028
corr_cocoa_wti_21d,-0.00029
dxy_mom_5d,-0.00031
macro_cedi_depreciation_pct_m,-0.00042
brent_ret_lag2,-0.00054
vix_ret_lag5_mean,-0.00062
cedi_ret_lag1,-0.00067
cocoa_ret_lag1,-0.00087
corr_cocoa_brent_21d,-0.00132
cocoa_mom_21d,-0.00149
gold_vol_5d,-0.00154
brent_vol_63d,-0.00164
wti_vol_5d,-0.00168
brent_volratio,-0.0019
cocoa_ret_lag5_mean,-0.00195
dxy_vol_5d,-0.00199
dxy_ret_lag2,-0.00213
wti_absret_lag1,-0.00224
gold_volratio,-0.0023
vix_vol_5d,-0.00235
vix_mom_5d,-0.00244
gold_ret_lag1,-0.00258
gold_ret_lag5_mean,-0.00263
cocoa_vol_63d,-0.00302
dxy_mom_63d,-0.00304
vix_volratio,-0.00322
brent_mom_5d,-0.00332
brent_vol_5d,-0.00338
brent_ret_lag1,-0.00348
dxy_volratio,-0.00349
wti_ret_lag5_mean,-0.00375
vix_ret_lag1,-0.00377
brent_mom_63d,-0.00381
vix_drawdown_63d,-0.00439
wti_mom_63d,-0.00494
brent_absret_lag1,-0.00502
vix_vol_21d,-0.00545
wti_ret_lag2,-0.0058
gold_absret_lag1,-0.00604
brent_ret_lag5_mean,-0.00628
gold_mom_5d,-0.00641
dxy_mom_21d,-0.00675
wti_ret_lag1,-0.00677
cocoa_vol_21d,-0.00699
vix_mom_63d,-0.0077
cocoa_mom_63d,-0.00808
gold_vol_63d,-0.00849
cocoa_volratio,-0.00868
cedi_absret_lag1,-0.00873
cocoa_drawdown_63d,-0.03082
