,0
joint_tail_count,0.00274
macro_policy_rate,0.00225
corr_cocoa_gold_21d,0.00212
cocoa_mom_63d,0.0021
cocoa_mom_21d,0.00205
brent_volratio,0.00187
cedi_vol_63d,0.00177
brent_mom_21d,0.00172
vix_mom_63d,0.00161
cedi_vol_21d,0.00161
dxy_vol_5d,0.00159
cedi_mom_5d,0.00143
cedi_vol_5d,0.00138
brent_vol_21d,0.00136
cedi_ret_lag1,0.00135
vix_vol_21d,0.00126
cocoa_volratio,0.00125
cedi_ret_lag5_mean,0.00123
dxy_ret_lag2,0.00122
corr_cocoa_cedi_21d,0.00121
vix_vol_63d,0.00118
wti_vol_21d,0.00117
cocoa_ret_lag1,0.00117
brent_ret_lag5_mean,0.00116
wti_mom_21d,0.00115
brent_mom_5d,0.00111
gold_absret_lag1,0.00111
cocoa_drawdown_63d,0.00108
brent_mom_63d,0.00102
wti_vol_5d,0.00101
vix_ret_lag1,0.00099
dxy_volratio,0.00098
vix_ret_lag2,0.00098
cocoa_ret_lag2,0.00095
brent_vol_5d,0.00094
gold_ret_lag5_mean,0.00092
corr_cocoa_wti_21d,0.00091
cedi_ret_lag2,0.0009
wti_ret_lag5_mean,0.00086
cocoa_vol_63d,0.00085
vix_ret_lag5_mean,0.00082
wti_ret_lag2,0.00081
dxy_ret_lag1,0.00081
dxy_mom_63d,0.00078
vix_drawdown_63d,0.00078
gold_mom_5d,0.00078
brent_ret_lag1,0.00077
cocoa_absret_lag1,0.00076
corr_cocoa_dxy_21d,0.00076
cocoa_vol_5d,0.00075
brent_absret_lag1,0.00075
wti_mom_63d,0.00074
wti_volratio,0.00073
vix_absret_lag1,0.00073
corr_cocoa_brent_21d,0.0007
vix_volratio,0.0007
dxy_vol_21d,0.00069
brent_ret_lag2,0.00068
cedi_mom_21d,0.00065
gold_ret_lag1,0.00064
cedi_absret_lag1,0.00064
corr_cocoa_vix_21d,0.00062
macro_cpi_yoy,0.00062
dxy_mom_5d,0.00062
gold_vol_21d,0.00062
vix_mom_5d,0.0006
gold_ret_lag2,0.00059
vix_vol_5d,0.00059
dxy_absret_lag1,0.00059
dxy_drawdown_63d,0.00058
dxy_mom_21d,0.00058
wti_absret_lag1,0.00056
wti_mom_5d,0.00054
wti_ret_lag1,0.00054
wti_drawdown_63d,0.00054
gold_mom_21d,0.00053
cocoa_mom_5d,0.00052
cocoa_vol_21d,0.00052
brent_drawdown_63d,0.00051
brent_vol_63d,0.00049
cedi_drawdown_63d,0.00045
gold_vol_63d,0.00045
cocoa_ret_lag5_mean,0.00045
gold_drawdown_63d,0.00045
gold_volratio,0.00044
vix_mom_21d,0.00043
gold_mom_63d,0.00041
dxy_ret_lag5_mean,0.0004
macro_cedi_depreciation_pct_m,0.0004
dxy_vol_63d,0.0004
wti_vol_63d,0.00039
gold_vol_5d,0.00037
macro_exports_usd_m,0.00034
cedi_volratio,0.00028
cedi_mom_63d,0.00028
